Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Ethiopia,0.043,49.0516561,4309,8080496318,6,0.087,0,0.109,54,0,5971526,0
Gabon,0.034,49.0516561,1782,4712849280,125,0.055,0,0.207,61,0.1,1255299,0
"Gambia, The",0.045,49.0516561,282,687410629,25,0.062,0,0.119,57,0,1266691,0
Ghana,0.034,49.0516561,6920,5314871684,15,0.063,0,0.119,58,0,19293392,0
Guinea,0.042,49.0516561,1298,2833442750,19,0.099,0,0.119,51,0,8895353,0
Guinea-Bissau,0.041,49.0516561,150,384270400,15,0.106,0,0.119,53,0.5,1301748,0
Kenya,0.039,49.0516561,9369,12985991723,19,0.068,0,0.197,54,0,32126351,0
Lesotho,0.031,49.0516561,8529,706430933,28,0.082,0,0.166,46,0,1871500,0
Liberia,0.042,49.0516561,502,515000000,11,0.02,0,0.221,53,0,2998770,0
Libya,0.022,49.0516561,48100,28420321952,261,0.024,0,0.07,74,0,5258677,2
Madagascar,0.04,49.0516561,1742,4529575233,14,0.067,0,0.119,60,0,16235767,0
Malawi,0.045,49.0516561,906,1716502069,8,0.097,0,0.119,46,0,11623166,0
Mali,0.048,49.0516561,546,2629739067,18,0.02,0,0.119,49,0,10562768,0
Mauritania,0.038,49.0516561,1349,1295536829,19,0.076,0,0.225,61,0,2791403,0
Mauritius,0.016,49.0516561,2967,4536544699,147,0.015,0.1,0.211,75,0.2,1199881,2
Morocco,0.021,49.0516561,37715,37724674865,58,0.041,0,0.133,70,0.2,29021156,0
Mozambique,0.045,49.0516561,1580,4075049537,12,0.109,0,0.227,49,0,18785719,0
Namibia,0.031,49.0516561,2017,3546791603,113,0.049,0,0.145,56,0.1,1931282,0
Niger,0.053,49.0516561,759,1945327546,12,0.098,0,0.119,51,0,11396434,0
Nigeria,0.043,49.0516561,83351,44138014092,18,0.11,0,0.119,47,0,5971526,0
Rwanda,0.04,49.0516561,689,1674685126,8,0.101,0,0.173,50,0,8760003,0
Sao Tome and Principe,0.037,49.0516561,51,76553443,52,0.056,0.1,0.119,65,0.5,141783,0
Senegal,0.04,49.0516561,4331,4877602012,24,0.067,0,0.119,60,0,10119118,0
Seychelles,0.018,49.0516561,642,618433501,356,0.012,0.1,0.106,75,0.5,81202,2
Sierra Leone,0.044,49.0516561,568,1079478388,40,0.02,0,0.119,40,0,4295667,0
Somalia,0.048,49.0516561,502,15493320082,193,0.105,0,0.119,53,0,7609265,0
South Africa,0.024,49.0516561,8529,1.18479E+11,223,0.053,0.1,0.138,57,0.2,44909738,1
